mid,publish_time,user_name,user_link,content,source,location_url,location_name,image_urls,weibo_link,forward_num,comment_num,like_num
4747567718731323,2022-03-16 08:50,包头晚报,https://weibo.com/1899956213?refer_flag=1001030103_,【#土坑酸菜食品被查封处理#】#土坑酸菜涉事企业被立案调查# 15日，“3·15”晚会报道涉及湖南省华容县插旗菜业、锦瑞食品有限公司两家酱腌菜生产企业存在进货货源部分为收购来的“土坑”酸菜问题。当晚21时，华容县领导带队，县市场监督管理局、公安局出动执法人员，到达华容县插旗菜业和锦瑞食品有限公司，认真排查整治，责令停产整顿，封存全部产品，启动立案调查。随后连夜召集县内30余家酱腌菜企业负责人召开整治大会，要求所有企业开展自查自纠，立行立改；宣布从即日起，对全县酱腌菜行业开展地毯式排查，对查出的问题顶格处理，决不姑息。（红网）#315晚会##315 老坛酸菜# L央视财经的微博视频 收起d,微博视频号,,,,https://weibo.com/1899956213/LjXs7ADpN?refer_flag=1001030103_,0,0,0
4747567634058176,2022-03-16 08:49,徐徐如声CN,https://weibo.com/1481578535?refer_flag=1001030103_,#315 老坛酸菜#看到了这个画面的缺失惊讶万分，怎么低劣的做工切实很差，曾经去沈阳 @榆园酸菜 工厂参观机器设备加工生产值得点赞 #统一致歉##康师傅致歉# 两大品牌纷纷致歉下架，只是看到了态度，如何更好的解决这个事情，让食品安全问题更好的解决，让我们老百姓吃上放心的酸菜食品！持续关注！ 收起d,iPhone X,,,,https://weibo.com/1481578535/LjXrZh1Is?refer_flag=1001030103_,0,0,1
4747565662995507,2022-03-16 08:42,周某人同学,https://weibo.com/1889623672?refer_flag=1001030103_,【#周某人语录#  -早安】#315 老坛酸菜#  315曝光这么多，为啥这个酸菜一直居高热榜呢？我猜应该是这个事件的覆盖面最大最广。不管是什么网络打赏，真假翡翠，甚至电动车。它们的消费群体、使用群体都有一定的限制性。但是泡面这种平民食品，不管是月薪几万的人还是月薪一千的，不管是老人还是小孩，都是它覆盖的人群。食品安全，还是很严峻啊。像我现在小孩子的早餐，能自己做的都自己做了。好不好吃其次，最重要是自己安心。 2广州 收起d,微博轻享版,http://t.cn/RuQ52aU,广州,https://wx3.sinaimg.cn/thumb150/70a15e78gy1h0bfhtdxxnj20u0140796.jpg https://wx3.sinaimg.cn/thumb150/70a15e78gy1h0bfhu4xsbj20u0140td0.jpg https://wx3.sinaimg.cn/thumb150/70a15e78gy1h0bfhv3p86j20u01400za.jpg https://wx3.sinaimg.cn/thumb150/70a15e78gy1h0bfhvrp4hj20u01t076u.jpg,https://weibo.com/1889623672/LjXoOczgD?refer_flag=1001030103_,0,0,3
4747565305694535,2022-03-16 08:40,遂川政法,https://weibo.com/3361952722?refer_flag=1001030103_,【#统一回应老坛酸菜原料问题#：自2012年底与湖南插旗不再合作】#315封面民生报告#3月15日，统一企业发表声明表示：最近五年内，湖南插旗公司已不再是我司酸菜包原料的供应商，同时，我司已于第一时间约谈了湖南锦瑞公司的负责人，对相关的酸菜包产品已全部进行了封存，并在市场监管局的参与下一起进行质量检测。此次事件是我司管理的失误，辜负了广大消费者的信任，对此我们表示深深的歉意！我们将全力配合政府管理部门的调查和处理，深刻反省，引以为戒，加强管理，诚尽接受媒体和社会各界的监督↓↓ 此前视频：L封面新闻的微博视频 #315 老坛酸菜##统一致歉##康师傅致歉#  http://mapi/001DitQpgy1h0b0y8sv3kj616f0u07bb02 收起d,微博视频号,,,,https://weibo.com/3361952722/LjXoenTpl?refer_flag=1001030103_,7,5,9
4747564618614078,2022-03-16 08:37,我是丁工,https://weibo.com/2214231137?refer_flag=1001030103_,昨天是忙碌的一天，一早打开电脑准备看一下客户发来的文件压缩包，打不开，就下载了一个新的压缩软件，于是电脑上弹出一堆乱七八糟的软件，直到电脑崩溃，开始删除，这样折腾一上午过去了。还没点外卖，算了，就一桶康师傅老坛酸菜牛肉面加一根火腿肠凑乎吧。晚上回到家，我打开了电视，正在播出#315晚会# ，然后，#315 老坛酸菜##双汇火腿肠#，可是为啥没有 #百度# 的事？ 收起d,iPhone 13 Pro,,,https://wx1.sinaimg.cn/orj360/83fa7c61gy1h0bfcxf4a2j20dw07tn0l.jpg,https://weibo.com/2214231137/LjXn7A8UK?refer_flag=1001030103_,0,1,3
4747563586290068,2022-03-16 08:33,学生仔Derek_Hung,https://weibo.com/3190047624?refer_flag=1001030103_,"#315 老坛酸菜#虽然不喜欢吃酸菜，但我一直以为作为大企业可能内销出口的差异也只是药残标准罢了，结果..........就想不到标准会那么低，以前经常看台湾新闻，也老看韩天新闻曝各种食安问题，但我感觉除了一些进口鱼类的药残以外大多数曝光的以我的见识来说都算不上问题，而且因为信息流通度比较高，新闻采编权也广泛被媒体持有，所以我买中式食物就比较放心买台湾制。虽然也有过大幸福事件，但总体感觉相对还是比较放心，而且我相信对于恶劣企业，无论公营媒体还是私营媒体都有足够的胆量报道，且不仅限于每年315..........BTW, 前段时间随便买个便宜的数据线，一比对发现居然这都要比国内某大牌的线粗很多，而且明明价格差不多.......然后给电脑买了充电套装，同是100w的头，配的线也硬是比国内带的原装粗很多很多很多，就离谱 2澳大利亚·Brisbane 收起d",Google Pixel 4 XL,http://t.cn/ROhjidd,澳大利亚·Brisbane,,https://weibo.com/3190047624/LjXlsqokI?refer_flag=1001030103_,0,0,2
4747563523380387,2022-03-16 08:33,杨明欣ShYlie,https://weibo.com/6655455508?refer_flag=1001030103_,道歉有什么用呢？黑心的时候你们都想不到有什么问题吧，一句道歉就可以让群众把吃了那么多年的垃圾都吐出来吗？你们敢奢求吗？你当我们是机器呢？中国人害中国人你们是人吗？那么多祖国的花朵以及全国那么多人吃你们的脚气良心下的去吗？有没有想过你们自己的孩子吃的是什么？好好体会体会吃别人脚气的滋味再出来说话好吗？不要都归咎于管理疏忽，你们真的严谨会出现这类漏洞吗？良心企业也不是没有就你们会演绎不善管理呢#老坛酸菜包竟是土坑腌制##统一致歉##315 老坛酸菜##康师傅下架老坛酸菜牛肉面# @康师傅官方微博 @统一企业官方 收起d,真我V5 闪充奥利给,,,,https://weibo.com/6655455508/LjXlmebon?refer_flag=1001030103_,0,0,1
4747563209069274,2022-03-16 08:32,洋瓷碗说陕西,https://weibo.com/5299540371?refer_flag=1001030103_,#315 老坛酸菜# 315晚会，曝光老坛酸菜牛肉面的酸菜原料有问题。简单一句话来说，就是卖给国外的人，都是按照标准来的，卖给中国人，就是不规范，酸菜腌制在土坑里完成，光脚上去踩，还抽烟，抽完了烟，灰也直接丢在酸菜里。被曝光之后，统一集团快速做出回应并道歉。但是又说2012年，也就是十年之前就不跟插旗菜业（不规范生产酸菜的企业）合作了，那为啥还要为十年都不再合作的企业道歉呢，这一波，就很迷惑啊。 收起d,,,,https://wx3.sinaimg.cn/thumb150/005MEkxBly1h0bf7mqfr7j30m80m849u.jpg https://wx1.sinaimg.cn/thumb150/005MEkxBly1h0bf7na6xoj30u01uo4qp.jpg https://wx1.sinaimg.cn/thumb150/005MEkxBly1h0bf7npna6j30u01uoavu.jpg,https://weibo.com/5299540371/LjXkQC3kC?refer_flag=1001030103_,3,4,10
4747555085223077,2022-03-16 08:00,无忧差评,https://weibo.com/6772106930?refer_flag=1001030103_,对于#315晚会# 曝光的这些企业，应该差评公示其股东、法人、高管，因为这些人换个公司可以继续害人。#315 老坛酸菜# #肯德基否认插旗菜业是其供应商# #康师傅# #无忧差评# #公示# #315照骗大赛#,iPhone客户端,,,https://wx3.sinaimg.cn/orj360/002diGk7ly8h0bdcl4lcej60gl0n13zu02.jpg,https://weibo.com/6772106930/LjX7KlULb?refer_flag=1001030103_,0,0,1
4747555085486342,2022-03-16 08:00,A股幽灵,https://weibo.com/1266136987?refer_flag=1001030103_,#315 老坛酸菜#水泥腌制池腌的无杂志酸菜专供出口，土坑腌制的有杂质咸菜，供应国内酸菜包……这是专坑自己人！同时，企业负责人还说了原因，国内即使发现有杂质仅仅罚款一千元，出口被发现有杂质直接罚十万，相差100倍，所以企业对出口酸菜上心思。我们国内对食品的监管该严抓了，不能搞一阵风式的形式主义！ ——以后不吃了#老坛酸菜包竟是土坑腌制##康师傅老坛酸菜重量级代言人# 🤢 LA股幽灵的微博视频 收起d,微博视频号,,,,https://weibo.com/1266136987/LjX7Kn1fo?refer_flag=1001030103_,26,5,52
